JobSat,YearsCodePro
6.9350408569662845,2
6.9350408569662845,17
6.9350408569662845,27
6.9350408569662845,2
6.9350408569662845,2
6.9350408569662845,2
6.9350408569662845,7
6.9350408569662845,2
6.9350408569662845,2
6.9350408569662845,11
8.0,2
6.9350408569662845,25
8.0,12
6.9350408569662845,2
6.9350408569662845,10
5.0,27
6.9350408569662845,2
6.9350408569662845,3
10.0,10
6.9350408569662845,11
6.0,0
6.9350408569662845,11
9.0,18
6.9350408569662845,37
4.0,15
6.9350408569662845,20
7.0,17
7.0,6
6.9350408569662845,12
6.9350408569662845,6
6.9350408569662845,2
7.0,7
6.9350408569662845,7
6.0,16
6.9350408569662845,2
7.0,6
6.9350408569662845,8
6.9350408569662845,6
6.9350408569662845,7
6.9350408569662845,0
7.0,7
7.0,12
6.9350408569662845,15
9.0,14
9.0,7
7.0,4
6.0,15
6.9350408569662845,15
6.9350408569662845,45
3.0,4
6.9350408569662845,0
6.9350408569662845,3
6.9350408569662845,1
3.0,6
7.0,8
6.9350408569662845,24
6.9350408569662845,2
6.0,2
6.9350408569662845,2
6.9350408569662845,6
6.9350408569662845,2
7.0,29
6.9350408569662845,2
9.0,5
9.0,2
6.9350408569662845,1
6.9350408569662845,0
6.9350408569662845,2
6.9350408569662845,15
9.0,8
6.9350408569662845,2
7.0,30
10.0,1
9.0,10
7.0,30
6.9350408569662845,2
6.0,25
7.0,5
8.0,24
8.0,26
7.0,10
7.0,9
4.0,20
2.0,4
6.9350408569662845,12
6.9350408569662845,2
8.0,29
6.9350408569662845,9
6.9350408569662845,20
8.0,2
6.9350408569662845,2
6.9350408569662845,2
4.0,37
6.0,4
6.9350408569662845,2
3.0,2
7.0,7
6.9350408569662845,33
8.0,1
6.9350408569662845,2
2.0,11
7.0,3
8.0,8
6.9350408569662845,15
6.9350408569662845,24
1.0,3
6.9350408569662845,2
9.0,6
6.9350408569662845,26
6.9350408569662845,0
4.0,6
6.9350408569662845,2
9.0,13
6.9350408569662845,35
6.9350408569662845,4
7.0,12
7.0,27
8.0,5
6.9350408569662845,7
6.9350408569662845,25
8.0,3
8.0,30
6.9350408569662845,2
8.0,8
10.0,12
6.9350408569662845,5
8.0,8
6.9350408569662845,10
6.9350408569662845,23
6.0,30
8.0,18
8.0,9
6.0,3
7.0,2
6.9350408569662845,45
6.9350408569662845,4
6.9350408569662845,2
6.9350408569662845,9
6.9350408569662845,2
6.9350408569662845,6
6.9350408569662845,4
9.0,5
8.0,6
6.9350408569662845,1
10.0,6
3.0,1
9.0,17
6.9350408569662845,18
8.0,6
10.0,13
6.9350408569662845,3
6.9350408569662845,22
7.0,4
6.9350408569662845,4
10.0,11
6.9350408569662845,10
6.9350408569662845,31
3.0,4
6.0,5
2.0,3
6.0,0
7.0,5
6.0,6
8.0,19
6.9350408569662845,9
10.0,16
6.9350408569662845,2
6.9350408569662845,2
8.0,8
6.0,21
6.9350408569662845,2
6.9350408569662845,15
6.9350408569662845,2
5.0,0
6.9350408569662845,2
